1029,new tasty carry out,carry-out,2016-05-09T00:00:00.000,------,20785,7720 landover rd,jian hong zheng
487,fairmont heights high school,public school,2016-05-09T00:00:00.000,critical violations observed,20743,1401 nye st,wesley watts
534,frances fuchs cafeteria,public school,2016-05-09T00:00:00.000,------,20705,11011 cherry hill rd,mark fossett
473,eleanor roosevelt high school,public school,2016-05-09T00:00:00.000,------,20770,7601 hanover pkwy,mark fossett
464,el puente de oro restaurant,full service,2016-05-09T00:00:00.000,critical violations observed,20783,1401 university blvd,cesar castro
332,church king buffet,full service,2016-05-09T00:00:00.000,compliant - no health risk,20774,10644 campus way south,zhen lan
323,chipotle mexican grill 1139,fast food,2016-05-09T00:00:00.000,------,20720,10201 martin luther king jr hwy,steven ellis
1663,wendy's 6581,fast food,2016-05-09T00:00:00.000,------,20705,11741 beltsville dr,james schwartz
2189,seven eleven 27075a,gas station store,2016-05-09T00:00:00.000,compliant - no health risk,20772,4704 crain hwy,william voshell
2110,papa johns 1726,carry-out,2016-05-09T00:00:00.000,compliant - no health risk,20772,5010 brown station rd,annie berkovicz
1136,pizza bolis,carry-out,2016-05-09T00:00:00.000,critical violations observed,20774,10672 campus way south,imran husain
1085,panda cafe,carry-out,2016-05-09T00:00:00.000,critical violations observed,20745,5119 indian head hwy,zhao shu zheng
1948,homeboys seafood,carry-out,2016-05-09T00:00:00.000,critical violations observed,20774,10664 campus way south,usman dar
1354,shell food mart,gas station store,2016-05-09T00:00:00.000,------,20783,7430 riggs rd,malinda suon
2133,pnp plus international,convenience store,2016-05-09T00:00:00.000,critical violations observed,20774,10640 campus way south,george okai
1506,taco bell 15459,fast food,2016-05-09T00:00:00.000,compliance schedule - outstanding,20706,9409 annapolis rd,kurt aarsand
1779,calverton elementary school,public school,2016-05-09T00:00:00.000,------,20705,3400 beltsville rd,mark fossett
2253,seven eleven 22977b,gas station store,2016-05-09T00:00:00.000,critical violations observed,20772,7701 crain hwy,kamran chaundry
3214,el carbonero restaurant grill & bar,full service,2016-05-09T00:00:00.000,critical violations observed,20783,1425 university blvd,edwin moreno
904,los antojitos,full service,2016-05-10T00:00:00.000,------,20783,9123 riggs rd,raul alvarez alegria
217,busboys and poets,full service,2016-05-10T00:00:00.000,------,20781,5331 baltimore ave,anas shallal
117,blowfish seafood & sushi restaurant,full service,2016-05-10T00:00:00.000,------,20705,11436 cherry hill rd,yue zhi lin
499,first baptist church of highland park/senior member center,church/temple/mosque,2016-05-10T00:00:00.000,------,20785,6801 sheriff rd,randolph willimas
637,hanabi japanese steak and seafood,restaurant,2016-05-10T00:00:00.000,------,20747,3392 donnell dr,hyun tae kim
261,charlies family restaurant,restaurant,2016-05-10T00:00:00.000,critical violations observed,20744,12760 old fort rd,victoria alevrofas
